"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0.3652095241778,0.116003376620781,0.0154529995865878,0.0069856050343049,0.000940823959899452,0.0188164392508032,0.0130774203275918,-0.000875486992989981,0.00100680756618264,0.000787938187066864
"PE-A",0.0178970807478193,1,0.360178994064341,0.0727069160314568,0.031319909565729,0.0328113187402336,0.00994282344009989,0.135222339764894,0.0462617961369684,0.105476796556925,0.0305327615070186
"PE-Texas Red-A",0.00176242799149235,0.0962284172516341,1,0.2414521876116,0.0897074371139152,0.0030548663424058,0.000626638279025532,0.19598163645005,0.0317802119884296,0.0330922235689668,0.0064143506787987
"7-AAD-A",0,0,0,1,0,0,0,0,0,0,0
"PE-Cy7-A",0.00108631931772016,0.0192061256118446,0.00779977263060586,0.00315032504975861,1,0.00123598846492505,0.000482808500055443,0.00344725241484907,0.00428613139666664,0.125448001047235,0.389139454238687
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0,0,0,0,0,0,1,0,0,0,0
"Qdot 605-A",0.00186487416798022,0.00757981162378832,0.0363951188727978,0.0120314414934118,0.0104071980734803,0.0271643344948729,0.00219239805334945,1,0.0183613187893265,0.0278156398643202,0.00821034456370245
"Alexa Fluor 647-A",0.00213922733545106,0.00311160378951967,0.00259300390670544,0.00220405300938248,0.00187992699250614,0.00472503133159576,0.00201677983992423,0.00576222904639441,1,0.829968853802843,0.112308673077947
"Alexa Fluor 700-A",0.00226537546325323,0.0031148915308374,0.00283172032232802,0.00207659445827518,0.00415318942411123,0.00620880893737602,0.00184586297310286,0.00528587165835237,0.00780761816135253,1,0.148461939668917
"APC-Cy7-A",0.00396436125259719,0.00641293689891304,0.00571334279627012,0.00326476811045039,0.00839511901735701,0.00829147270674087,0.0033165890553875,0.0108825493653329,0.0325022947115124,0.237739386090201,1
